Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,AMD,Ryzen_3,8,15.6,1920 x 1080,IPS,0,AMD,256,1000,1.9,807.0
Acer,AMD,Ryzen_3,12,15.6,1920 x 1080,IPS,0,AMD,128,1000,1.9,629.0
Acer,AMD,Ryzen_3,12,15.6,1920 x 1080,IPS,0,AMD,512,0,1.9,619.99
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,128,1000,1.9,649.0
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,256,0,1.9,625.0
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,256,2000,1.9,699.0
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,512,0,1.9,649.0
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,512,1000,1.9,629.99
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,1000,0,1.9,721.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,128,1000,1.9,739.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,256,1000,1.9,699.0
Acer,AMD,Ryzen_3,32,15.6,1920 x 1080,IPS,0,AMD,512,1000,1.9,889.0
Acer,AMD,Ryzen_3,32,15.6,1920 x 1080,IPS,0,AMD,1000,0,1.9,729.99
Acer,AMD,Ryzen_3,32,15.6,1920 x 1080,IPS,0,AMD,2000,0,1.9,959.0
Acer,AMD,Ryzen_3,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,619.0
Acer,AMD,Ryzen_3,8,15.6,1920 x 1080,IPS,0,AMD,1000,0,1.8,659.0
Acer,AMD,Ryzen_3,12,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,659.0
Acer,AMD,Ryzen_3,12,15.6,1920 x 1080,IPS,0,AMD,1000,0,1.8,719.0
Acer,AMD,Ryzen_3,16,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,679.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,128,0,1.8,649.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,256,0,1.8,633.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,661.0
Acer,AMD,Ryzen_3,20,15.6,1920 x 1080,IPS,0,AMD,1000,0,1.8,711.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,0,1000,2.23,799.99
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,256,0,2.0,1499.11
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,256,0,1.9,729.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,256,1000,1.9,819.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.9,699.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,TN,0,AMD,512,0,1.9,639.0
Acer,AMD,Ryzen_5,12,15.6,1920 x 1080,TN,0,AMD,1000,0,1.9,639.99
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,AMD,256,0,1.9,739.0
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,AMD,256,1000,1.9,829.0
Acer,AMD,Ryzen_5,20,15.6,1920 x 1080,TN,0,AMD,1000,0,1.9,699.99
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,AMD,256,1000,1.9,929.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,889.99
Acer,AMD,Ryzen_5,8,14.0,1920 x 1080,IPS,0,AMD,256,0,1.2,617.21
Acer,AMD,Ryzen_5,8,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,645.0
Acer,AMD,Ryzen_5,8,14.0,1920 x 1080,IPS,0,AMD,1000,0,1.2,749.0
Acer,AMD,Ryzen_5,8,15.6,1366 x 768,IPS,0,AMD,512,0,1.8,629.99
Acer,AMD,Ryzen_5,12,15.6,1366 x 768,IPS,0,AMD,512,0,1.8,619.99
Acer,AMD,Ryzen_5,20,15.6,1366 x 768,IPS,0,AMD,256,0,1.8,648.99
Acer,AMD,Ryzen_5,20,15.6,1366 x 768,IPS,0,AMD,512,0,1.8,698.99
Acer,AMD,Ryzen_5,20,15.6,1366 x 768,IPS,0,AMD,512,1000,1.8,798.99
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,0,2.4,769.52
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.4,817.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.4,929.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.4,868.99
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,0,1000,2.4,1069.0
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.4,860.0
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.4,999.0
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.4,1099.0
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.4,1129.0
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.4,994.0
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.4,1059.99
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,2000,2.4,1079.0
Acer,AMD,Ryzen_5,64,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.4,1389.0
Acer,AMD,Ryzen_5,8,15.6,1920 x 1080,IPS,0,AMD,256,0,1.8,706.66
Acer,AMD,Ryzen_5,8,17.3,1920 x 1080,IPS,0,NVIDIA,512,0,2.7,1445.12
Acer,AMD,Ryzen_5,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1256.0
Acer,AMD,Ryzen_5,16,17.3,1920 x 1080,IPS,0,NVIDIA,512,0,2.7,2037.07
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1699.99
Acer,AMD,Ryzen_5,32,15.6,1920 x 1080,IPS,0,NVIDIA,2000,1000,2.3,1759.99
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.9,643.94
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,649.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,1000,0,1.2,749.0
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,2000,0,1.2,899.0
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,1198.0
Acer,AMD,Ryzen_7,16,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,1599.98
Acer,AMD,Ryzen_7,16,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.4,1099.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,256,0,1.2,699.99
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,512,0,1.2,836.3
Acer,AMD,Ryzen_7,8,14.0,1920 x 1080,IPS,0,AMD,1000,0,1.2,739.99
Acer,AMD,Ryzen_7,8,15.6,1920 x 1080,IPS,0,AMD,512,0,1.8,999.99
