web-scraper-order;web-scraper-start-url;Name;Name-href;CPU;GPU;Display;Storage;RAM;Weight;Price
1641795829-197;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-36/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 1000GB SSD;RAM: 16GB DDR4;Weight: 1.65 kg (3.6 lbs);$639.00 #CommissionsEarned
1641795161-148;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-18/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 1000GB SSD;RAM: 16GB DDR4;Weight: 1.65 kg (3.6 lbs);$639.00 #CommissionsEarned
1641795175-149;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-22/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 1000GB SSD;RAM: 32GB DDR4;Weight: 1.65 kg (3.6 lbs);$749.00 #CommissionsEarned
1641795816-196;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-34/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 1000GB SSD;RAM: 32GB DDR4;Weight: 1.65 kg (3.6 lbs);$749.00 #CommissionsEarned
1641795842-198;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-39/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 2000GB SSD;RAM: 32GB DDR4;Weight: 1.65 kg (3.6 lbs);$919.00 #CommissionsEarned
1641795204-150;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 1;https://laptopmedia.com/laptop-specs/acer-aspire-1-23/;CPU: Intel Celeron N4500;GPU: Intel UHD Graphics (Jasper Lake 16 EU);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 2000GB SSD;RAM: 32GB DDR4;Weight: 1.65 kg (3.6 lbs);$919.00 #CommissionsEarned
1641802664-716;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 3;https://laptopmedia.com/laptop-specs/acer-aspire-3-382/;CPU: Intel Core i5-1035G1;GPU: Intel UHD Graphics G1;Display: 15.6, Full HD (1920 x 1080), TN;Storage: 512GB SSD;RAM: 8GB DDR4;Weight: 1.90 kg (4.2 lbs);$609.00 #CommissionsEarned
1641802286-687;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 3;https://laptopmedia.com/laptop-specs/acer-aspire-3-493/;CPU: AMD Ryzen 5 3500U;GPU: AMD Radeon RX Vega 8 (Ryzen 2000/3000, 15W);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 512GB SSD;RAM: 8GB DDR4;Weight: 1.90 kg (4.2 lbs);$639.00 #CommissionsEarned
1641796000-210;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 3;https://laptopmedia.com/laptop-specs/acer-aspire-3-489/;CPU: AMD Ryzen 5 3500U;GPU: AMD Radeon RX Vega 8 (Ryzen 2000/3000, 15W);Display: 15.6, Full HD (1920 x 1080), TN;Storage: 1000GB SSD;RAM: 12GB DDR4;Weight: 1.90 kg (4.2 lbs);$639.99 #CommissionsEarned
1641802132-675;https://laptopmedia.com/specs/?q=&hPP=20&idx=laptops&p=0&dFR%5Bbrand%5D%5B0%5D=Acer&nR%5Bprice%5D%5B%3C%3D%5D%5B0%5D=1000&nR%5Bprice%5D%5B%3E%3D%5D%5B0%5D=600&is_v=1;Acer Aspire 3;https://laptopmedia.com/laptop-specs/acer-aspire-3-379/;CPU: Intel Core i5-1035G1;GPU: Intel UHD Graphics G1;Display: 15.6, Full HD (1920 x 1080), TN;Storage: 512GB SSD;RAM: 12GB DDR4;Weight: 1.90 kg (4.2 lbs);$649.00 #CommissionsEarned
